name,node_id,x_coord,y_coord
United_Food_Bank,1,33.40928,-111.85052
Matthew's_Crossing,2,33.32694,-111.8428
Paz_de_Cristo_Community_Center,3,33.40825,-111.84085
Resurrection_Street_Ministry,4,33.41504,-111.80653
Society_of_St_Vincent_de_Paul,5,33.40509,-111.92401
Tempe_First_United_Methodist_Church,6,33.4218921,-111.9399379
